Freq_Hz,X_real,X_imag,Y_real,Y_imag,H_real,H_imag,H_mag_dB,H_phase_rad,Impulse_response
130.545044,132.728256,43.284393,-3.573227,3.358846,-0.016874,0.030809,29.087078,2.071872,-0.052952
131.217957,-138.536240,-29.767363,2.850650,2.783695,-0.023796,-0.014981,31.020105,-2.579730,-0.035255
131.890869,124.758308,42.217934,2.170263,-2.643170,0.009176,-0.024291,31.711723,-1.209633,-0.013709
132.563782,-129.846191,-28.276060,-3.210534,-3.316723,0.028917,0.019246,29.184340,0.587247,0.027604
133.236694,117.694817,41.151703,-3.448418,3.440400,-0.017001,0.035176,28.163454,2.020998,0.109049
133.909607,-122.017044,-26.879017,2.613418,0.487222,-0.021266,0.000692,33.441650,3.109082,0.058597
134.582520,111.410263,40.115776,-2.133229,-1.748698,-0.021953,-0.007791,32.654900,-2.800549,-0.024901
135.255432,-114.902550,-25.574112,-1.953005,0.529063,0.015218,-0.007992,35.294956,-0.483550,-0.034684
135.928345,105.813179,39.097610,-2.963036,2.364276,-0.017374,0.028764,29.472214,2.114182,-0.015597
136.601257,-108.402214,-24.393791,1.235872,3.428961,-0.017626,-0.027665,29.681629,-2.138069,-0.017613
137.274170,100.779419,38.075233,1.162965,1.157709,0.013896,0.006237,36.344906,0.421903,0.007441
137.947083,-102.472939,-23.319969,2.314611,-0.282603,-0.020879,0.007509,33.077644,2.796338,-0.008812
138.619995,96.227829,37.087505,-1.366900,-0.754854,-0.015000,-0.002063,36.396759,-3.004902,-0.039846
139.292908,-97.021309,-22.332386,1.852676,1.227638,-0.020901,-0.007842,33.024723,-2.782630,-0.004733
139.965820,92.113998,36.127052,-0.780295,-2.861545,-0.017901,-0.024044,30.464399,-2.210771,0.050423
140.638733,-91.977913,-21.442474,-1.954953,1.765733,0.015914,-0.022907,31.090130,-0.963621,-0.004702
141.311646,88.379265,35.166142,0.733583,0.884670,0.010604,0.005790,38.356987,0.499798,-0.042926
141.984558,-87.324997,-20.658531,0.590751,-0.097145,-0.006157,0.002569,43.515289,2.746308,-0.031083
142.657471,84.948303,34.225075,-1.089879,-0.388928,-0.012625,0.000508,37.968224,3.101363,-0.020102
143.330383,-83.016060,-19.938786,0.065402,1.860097,-0.005833,-0.021006,33.230736,-1.841657,0.100281
144.003296,81.816452,33.313110,1.064711,0.084251,0.011522,-0.003662,38.351261,-0.307705,0.047802
144.676208,-78.991516,-19.302631,1.235790,0.150228,-0.015202,0.001813,36.300884,3.022897,-0.007792
145.349121,78.942291,32.396118,0.654615,-2.355789,-0.003384,-0.028453,30.856398,-1.689179,-0.071226
146.022034,-75.251740,-18.757074,-2.462802,-0.800400,0.033309,0.002334,29.527447,0.069948,-0.017189
146.694946,76.270226,31.489632,-0.621046,1.924373,0.001943,0.024429,32.214592,1.491420,0.056183
147.367859,-71.772858,-18.266510,1.595032,-0.685001,-0.018590,0.014275,32.601273,2.486737,0.052047
148.040771,73.801170,30.611332,-2.670171,-1.718514,-0.039110,-0.007063,28.014759,-2.962915,-0.001676
148.713684,-68.500046,-17.842842,-2.245448,3.389700,0.018627,-0.054337,24.815636,-1.240548,-0.019813
149.386597,71.510406,29.718964,2.000585,3.106544,0.039251,0.027130,26.427040,0.604785,-0.038066
150.059509,-65.454918,-17.495571,3.603141,0.210789,-0.052180,0.010727,25.470083,2.938842,0.011320
